Visitor ID,Name,Initiated Time,Page,Mode,Question,IP,Keyword,Campaign Medium,Campaign Name,Campaign Source,State,Source
9f880dbf-6ab9-4c50-aaf4-8aca4169694f_a11,Visitor 289024,"02 Sep, 2024 08:02 AM",https://russelservico.com.br/,Mobile,Quero Contratar,172.225.209.48,,,,,sao paulo,Referrals
b-Whatsapp_5521984850162_3040000001520665,Marilda,"02 Sep, 2024 08:04 AM",,,Olá! Tudo bem? Gostaria de solicitar um orçamento para terceirização de mão de obra.,,,,,,,WhatsApp
a55a6788-f4e9-437d-9525-7df7bb365307_a11,Visitor 578049,"02 Sep, 2024 08:16 AM",https://russelservico.com.br/terceirizacao/construcao-civil,Mobile,Busco Emprego,177.173.204.205,,,,,parana,Search Engine
4e43601c-a176-4e55-8717-e89fc41d2db6_a11,Visitor 117196,"02 Sep, 2024 08:29 AM",https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=pacotelimpeza&utm_content=ad05&utm_term=diarista&gad_source=1&gclid=EAIaIQobChMItKj45ZOkiAMVug6tBh3lCBixEAAYASAAEgLoP_D_BwE,Mobile,Busco Emprego,187.43.133.64,diarista,pesquisa,pacotelimpeza,google,sao paulo,Adwords
4e43601c-a176-4e55-8717-e89fc41d2db6_a11,Visitor 117196,"02 Sep, 2024 08:30 AM",https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=pacotelimpeza&utm_content=ad05&utm_term=diarista&gad_source=1&gclid=EAIaIQobChMItKj45ZOkiAMVug6tBh3lCBixEAAYASAAEgLoP_D_BwE,Mobile,Busco Emprego,187.43.133.64,diarista,pesquisa,pacotelimpeza,google,sao paulo,Adwords
47e63f36-7174-404d-9955-c6cb2bd877c5_a11,Visitor 717932,"02 Sep, 2024 08:31 AM",https://russelvagas.com.br/,Mobile,Quero emprego.,187.43.133.64,,,,,sao paulo,Direct
1a603028-fa80-4d05-9c32-92db46784b3f_a11,Visitor 677128,"02 Sep, 2024 08:32 AM",https://russelvagas.com.br/,Mobile,FALE CONOSCO,152.255.127.89,,,,,minas gerais,Search Engine
b511191b-a5ff-48b6-9392-0784f8a5d9f7_a11,Visitor 707375,"02 Sep, 2024 08:38 AM",https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=varejo&utm_content=ad05&utm_term=contratar%20vendedor&gad_source=1&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9HvXiyHyFgwJ9-ZqMvZDKNikaR4Mz9OZ88-b05YZIYkU6vLxKdFRLBoCm1cQAvD_BwE,Mobile,Busco Emprego,191.247.0.247,contratar vendedor,pesquisa,varejo,google,rio grande do norte,Adwords
e300af11-8369-48c0-90fe-6af0c835fba3_a11,Visitor 372634,"02 Sep, 2024 08:39 AM",https://russelvagas.com.br/,Mobile,Quero emprego.,191.247.0.247,,,,,ceara,Direct
e300af11-8369-48c0-90fe-6af0c835fba3_a11,Visitor 372634,"02 Sep, 2024 08:40 AM",https://russelvagas.com.br/,Mobile,FALE CONOSCO,191.247.0.247,,,,,ceara,Direct
4645f22a-2314-45fa-9b86-be632b8e0601_a11,Visitor 743606,"02 Sep, 2024 09:03 AM",https://russelservico.com.br/como-funciona,Mobile,Quero Contratar,170.245.161.225,,,,,bahia,Direct
1348fbf8-c98b-4743-8770-5fbfd9695b03_a11,Visitor 608543,"02 Sep, 2024 09:06 AM",https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=opmaquinas&utm_content=ad02&utm_term=mec%C3%A2nico%20de%20m%C3%A1quinas%20pesadas&gad_source=1&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9OFKHFz4hbBp7yZIDXwDyZUqC_1PwPcJjUzFByBi5zhkPSnsg,Mobile,Busco Emprego,191.5.196.30,mecânico de máquinas pesadas,pesquisa,opmaquinas,google,pernambuco,Adwords
d0bf76fd-7b40-4f4f-b55e-f1f994e38f77_a11,Visitor 49573,"02 Sep, 2024 09:07 AM",https://russelvagas.com.br/,Mobile,Quero emprego.,191.5.196.30,,,,,pernambuco,Direct
d0bf76fd-7b40-4f4f-b55e-f1f994e38f77_a11,Visitor 49573,"02 Sep, 2024 09:08 AM",https://russelvagas.com.br/vagas/,Mobile,Bom dia,191.5.196.30,,,,,pernambuco,Direct
b3d5e62e-c50c-4357-b3fd-d5d1b172c010_a11,Visitor 216123,"02 Sep, 2024 09:12 AM",https://russelservico.com.br/servicos/recrutamento-e-selecao?utm_source=google&utm_medium=pesquisa&utm_campaign=recrutamentoselecao&utm_content=ad04&utm_term=agencia%20de%20rh&gad_source=1&gbraid=0AAAAADGsFhhP4HhtEM7g9iOsYX_wZa4dD&gclid=EAIaIQobChMIv7T5u5,Mobile,Busco Emprego,45.70.60.246,agencia de rh,pesquisa,recrutamentoselecao,google,minas gerais,Adwords
3a0399ca-dffa-4173-bd7a-83367f1f1851_a11,Visitor 501251,"02 Sep, 2024 09:12 AM",https://russelvagas.com.br/,Mobile,Quero emprego.,45.70.60.246,,,,,minas gerais,Referrals
