Data,ID do Visitante,Canal,Página de Aterrissagem,Question,Origem,Meio,Campanha,Estado,Keyword,Qualificação,Contagem,Taxa de Conversão
04/09/2024,,,,,,,,,,,,
04/09/2024,Visitor 289024,Referrals,https://russelservico.com.br/,Quero Contratar,,,,sao paulo,,Não Qualificado,,
04/09/2024,Marilda,WhatsApp,,Olá! Tudo bem? Gostaria de solicitar um orçamento para terceirização de mão de obra.,,,,,,Não Qualificado,,
04/09/2024,Visitor 578049,Search Engine,https://russelservico.com.br/terceirizacao/construcao-civil,Busco Emprego,,,,parana,,Emprego,,
04/09/2024,Visitor 117196,Adwords,https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=pacotelimpeza&utm_content=ad05&utm_term=diarista&gad_source=1&gclid=EAIaIQobChMItKj45ZOkiAMVug6tBh3lCBixEAAYASAAEgLoP_D_BwE,Busco Emprego,google,pesquisa,pacotelimpeza,sao paulo,diarista,Emprego,,
04/09/2024,Visitor 717932,Direct,https://russelvagas.com.br/,Quero emprego.,,,,sao paulo,,Não Qualificado,,
04/09/2024,Visitor 677128,Search Engine,https://russelvagas.com.br/,FALE CONOSCO,,,,minas gerais,,Não Qualificado,,
04/09/2024,Visitor 707375,Adwords,https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=varejo&utm_content=ad05&utm_term=contratar%20vendedor&gad_source=1&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9HvXiyHyFgwJ9-ZqMvZDKNikaR4Mz9OZ88-b05YZIYkU6vLxKdFRLBoCm1cQAvD_BwE,Busco Emprego,google,pesquisa,varejo,rio grande do norte,contratar vendedor,Emprego,,
04/09/2024,Visitor 372634,Direct,https://russelvagas.com.br/,Quero emprego.,,,,ceara,,Não Qualificado,,
04/09/2024,Visitor 743606,Direct,https://russelservico.com.br/como-funciona,Quero Contratar,,,,bahia,,Não Qualificado,,
04/09/2024,Visitor 608543,Adwords,https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=opmaquinas&utm_content=ad02&utm_term=mec%C3%A2nico%20de%20m%C3%A1quinas%20pesadas&gad_source=1&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9OFKHFz4hbBp7yZIDXwDyZUqC_1PwPcJjUzFByBi5zhkPSnsg,Busco Emprego,google,pesquisa,opmaquinas,pernambuco,mecânico de máquinas pesadas,Emprego,,
04/09/2024,Visitor 49573,Direct,https://russelvagas.com.br/,Quero emprego.,,,,pernambuco,,Não Qualificado,,
04/09/2024,Visitor 216123,Adwords,https://russelservico.com.br/servicos/recrutamento-e-selecao?utm_source=google&utm_medium=pesquisa&utm_campaign=recrutamentoselecao&utm_content=ad04&utm_term=agencia%20de%20rh&gad_source=1&gbraid=0AAAAADGsFhhP4HhtEM7g9iOsYX_wZa4dD&gclid=EAIaIQobChMIv7T5u5,Busco Emprego,google,pesquisa,recrutamentoselecao,minas gerais,agencia de rh,Emprego,,
04/09/2024,Visitor 501251,Referrals,https://russelvagas.com.br/,Quero emprego.,,,,minas gerais,,Não Qualificado,,
04/09/2024,Visitor 264013,Adwords,https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=varejoRJ&utm_content=ad05&utm_term=contratar%20auxiliar%20administrativo&gad_source=1&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9Fc-5CTF4BlXxeCCGS4Ody3AQJpawtey3aDo1ad0XiOL20qQ7yIM_hoCUt,Busco Emprego,google,pesquisa,varejorj,rio de janeiro,contratar auxiliar administrativo,Emprego,,
04/09/2024,Visitor 679007,Adwords,https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=ti&utm_content=ad02&utm_term=contratar%20designer&gad_source=1&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9FONRgFbmpNiT5BKtiiDe1awqg6JXO6lLXvOgK6k70kuIp1Afz39mRoCZsAQAvD_BwE,Busco Emprego,google,pesquisa,ti,bahia,contratar designer,Emprego,,
04/09/2024,Visitor 428878,Adwords,https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=construcao&utm_content=ad02&utm_term=contratar%20pedreiro&gad_source=1&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9An7vAfejnSnqQuCLsFiHTlpAl8F9XmojJV3fWv8IgYkT6V2tvPxwxoCkAkQAvD_BwE,Quero Contratar,google,pesquisa,construcao,mato grosso,contratar pedreiro,Não Qualificado,,
04/09/2024,Visitor 821661,Adwords,https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=ti&utm_content=ad03&utm_term=contratar%20programador&gad_source=1&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9Il5sib_ENZP4d2JmFFa2X9kQ4siBS41ZSIp5ia8f1qm-33PPsK5JxoCfPwQAvD_BwE,Quero Contratar,google,pesquisa,ti,sao paulo,contratar programador,Não Qualificado,,
04/09/2024,@renata Bezerra,WhatsApp,,Olá! Tudo bem? Gostaria de solicitar um orçamento para terceirização de mão de obra.,,,,,,Não Qualificado,,
04/09/2024,Visitor 963891,Adwords,https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=pacotelimpezaRJ&utm_content=ad05&utm_term=diarista&gad_source=1&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9E2sxEY9qSJ67bEl9SNKvfTBW0RG8x46soU7gxD8OgAM2XNV7vnUQhoCLBkQAvD_BwE,Busco Emprego,google,pesquisa,pacotelimpezarj,rio de janeiro,diarista,Emprego,,
04/09/2024,Visitor 376443,Direct,https://russelvagas.com.br/,Quero emprego.,,,,rio de janeiro,,Qualificado,,
04/09/2024,Luzineide,WhatsApp,,Olá! Tudo bem? Gostaria de solicitar um orçamento para terceirização de mão de obra.,,,,,,Não Qualificado,,
04/09/2024,Visitor 99354,Adwords,https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=pacotelimpeza&utm_content=ad05&utm_term=diarista&gad_source=1&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9CX0zz8wQFCODkeRuSFUh3-bm19gA0prKqEwg8G7b4cKRCrjp7JFLBoCKMIQAvD_BwE,Busco Emprego,google,pesquisa,pacotelimpeza,sao paulo,diarista,Emprego,,
04/09/2024,Visitor 811692,Direct,https://russelvagas.com.br/,Quero emprego.,,,,sao paulo,,Qualificado,,
04/09/2024,Visitor 964218,Referrals,https://russelvagas.com.br/,Quero emprego.,,,,sao paulo,,Qualificado,,
04/09/2024,Marina Santos,WhatsApp,,Bom dia,,,,,,Qualificado,,
04/09/2024,Visitor 768477,Search Engine,https://russelvagas.com.br/,Quero emprego.,,,,minas gerais,,Qualificado,,
04/09/2024,Visitor 742845,Adwords,https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=pacotelimpeza&utm_content=ad05&utm_term=diarista&gad_source=1&gbraid=0AAAAADGsFhj_ybQb9rrgMXDnUk_Djhq3m&gclid=EAIaIQobChMInazRsrakiAMVmR-tBh1qPwkDEAAYAiAAEgK_nPD_BwE,Quero Contratar,google,pesquisa,pacotelimpeza,minas gerais,diarista,Qualificado,,
04/09/2024,Visitor 204728,Search Engine,https://russelvagas.com.br/,Boa tarde!,,,,minas gerais,,Qualificado,,
04/09/2024,Visitor 925460,Adwords,https://russelservico.com.br/servicos/recrutamento-e-selecao?utm_source=google&utm_medium=youtube&utm_campaign=yremarketing&utm_content=ad01&utm_term=&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9PKTHwA9BqRGKgIm172vdDbRWny0anRx4ubQlJd5-a26NRLYqy8Z_RoCnK4QAvD_BwE,Busco Emprego,google,youtube,yremarketing,distrito federal,,Emprego,,
04/09/2024,Visitor 34999,Adwords,https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=barerestaurante&utm_content=ad02&utm_term=contratar%20gar%C3%A7om%20para%20festa&gad_source=1&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9PRGf3n7RQCn6f58MzjleQ3gvdQ6oxKEOY_V7EObP_sZ9H-lYN,Quero Contratar,google,pesquisa,barerestaurante,minas gerais,contratar garçom para festa,Qualificado,,
