Data,ID do Visitante,Canal,Página de Aterrissagem,Origem,Meio,Campanha,Estado,Keyword,Qualificação,Contagem,Taxa de Conversão
11/09/2024,65,20,31%,,,,,,,,
11/09/2024,Visitor 578049,Chat SalesIQ,https://russelservico.com.br/terceirizacao/construcao-civil,,,,parana,,Emprego,Emprego: 28,43%
11/09/2024,Visitor 117196,Chat SalesIQ,https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=pacotelimpeza&utm_content=ad05&utm_term=diarista&gad_source=1&gclid=EAIaIQobChMItKj45ZOkiAMVug6tBh3lCBixEAAYASAAEgLoP_D_BwE,google,pesquisa,pacotelimpeza,sao paulo,diarista,Emprego,Qualificado: 20,31%
11/09/2024,Visitor 707375,Chat SalesIQ,https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=varejo&utm_content=ad05&utm_term=contratar%20vendedor&gad_source=1&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9HvXiyHyFgwJ9-ZqMvZDKNikaR4Mz9OZ88-b05YZIYkU6vLxKdFRLBoCm1cQAvD_BwE,google,pesquisa,varejo,rio grande do norte,contratar vendedor,Emprego,Não Qualificado: 17,26%
11/09/2024,Visitor 608543,Chat SalesIQ,https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=opmaquinas&utm_content=ad02&utm_term=mec%C3%A2nico%20de%20m%C3%A1quinas%20pesadas&gad_source=1&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9OFKHFz4hbBp7yZIDXwDyZUqC_1PwPcJjUzFByBi5zhkPSnsg,google,pesquisa,opmaquinas,pernambuco,mecânico de máquinas pesadas,Emprego,,
11/09/2024,Visitor 216123,Chat SalesIQ,https://russelservico.com.br/servicos/recrutamento-e-selecao?utm_source=google&utm_medium=pesquisa&utm_campaign=recrutamentoselecao&utm_content=ad04&utm_term=agencia%20de%20rh&gad_source=1&gbraid=0AAAAADGsFhhP4HhtEM7g9iOsYX_wZa4dD&gclid=EAIaIQobChMIv7T5u5,google,pesquisa,recrutamentoselecao,minas gerais,agencia de rh,Emprego,Search Engine: 5 - 0,0%
11/09/2024,Visitor 264013,Chat SalesIQ,https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=varejoRJ&utm_content=ad05&utm_term=contratar%20auxiliar%20administrativo&gad_source=1&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9Fc-5CTF4BlXxeCCGS4Ody3AQJpawtey3aDo1ad0XiOL20qQ7yIM_hoCUt,google,pesquisa,varejorj,rio de janeiro,contratar auxiliar administrativo,Emprego,Adwords: 36 - 7,19%
11/09/2024,Visitor 679007,Chat SalesIQ,https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=ti&utm_content=ad02&utm_term=contratar%20designer&gad_source=1&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9FONRgFbmpNiT5BKtiiDe1awqg6JXO6lLXvOgK6k70kuIp1Afz39mRoCZsAQAvD_BwE,google,pesquisa,ti,bahia,contratar designer,Emprego,Direct: 7 - 4,57%
11/09/2024,Visitor 963891,Chat SalesIQ,https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=pacotelimpezaRJ&utm_content=ad05&utm_term=diarista&gad_source=1&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9E2sxEY9qSJ67bEl9SNKvfTBW0RG8x46soU7gxD8OgAM2XNV7vnUQhoCLBkQAvD_BwE,google,pesquisa,pacotelimpezarj,rio de janeiro,diarista,Emprego,Campaigns: 3 - 1,33%
11/09/2024,Visitor 99354,Chat SalesIQ,https://russelservico.com.br/?utm_source=google&utm_medium=pesquisa&utm_campaign=pacotelimpeza&utm_content=ad05&utm_term=diarista&gad_source=1&gclid=CjwKCAjwxNW2BhAkEiwA24Cm9CX0zz8wQFCODkeRuSFUh3-bm19gA0prKqEwg8G7b4cKRCrjp7JFLBoCKMIQAvD_BwE,google,pesquisa,pacotelimpeza,sao paulo,diarista,Emprego,Referrals: 2 - 2,100%
